1,"あきづき型"
2,"あさぎり型"
3,"あさひ型"
4,"あたご型"
5,"あぶくま型"
6,"いずも型"
7,"こんごう型"
8,"たかなみ型"
9,"はたかぜ型"
10,"はつゆき型"
11,"ひゅうが型"
12,"むらさめ型"
